ISO	Country	LIunmetHlthCare	TunmetHlthCare	HIunmetHlthCare	oopHlthspd	YLIunmetHlthCare	YTunmetHlthCare	YHIunmetHlthCare	yoopHlthspd
ALB	Albania				56.9				2016
AUT	Austria	0.4	0.2	0	18.9	2016	2016	2016	2016
BEL	Belgium	7.9	2.4	0.3	15.9	2016	2016	2016	2016
BGR	Bulgaria	6.3	2.8	0.9	48.0	2016	2016	2016	2016
HRV	Croatia	4.6	1.7	0.4	14.8	2016	2016	2016	2016
CYP	Cyprus	1.9	0.6	0.1	44.9	2016	2016	2016	2016
CZE	Czech Republic	1.3	0.7	0.4	15.0	2016	2016	2016	2016
DNK	Denmark	1.2	1.1	1	13.7	2016	2016	2016	2016
EST	Estonia	19	15.3	13.4	22.7	2016	2016	2016	2016
EU28	EU28	5	2.5	1.1	18.2	2016	2016	2016	2016
FIN	Finland	5.2	4.1	2.2	20.4	2016	2016	2016	2016
FRA	France	3.4	1.3	0.5	9.8	2016	2016	2016	2016
MKD	FYR of Macedonia	5.2	2.9	1	35.6	2016	2016	2016	2016
DEU	Germany	0.6	0.3	0	12.4	2016	2016	2016	2016
GRC	Greece	18.6	10	3	34.3	2016	2016	2016	2016
HUN	Hungary	2.7	1.3	0.1	29.7	2016	2016	2016	2016
ISL	Iceland	7	4.3	2.4	16.9	2015	2015	2015	2016
IRL	Ireland	4.2	2.6	1.1	13.0	2016	2016	2016	2016
ITA	Italy	12.6	5.5	1.1	23.1	2016	2016	2016	2016
LVA	Latvia	16.8	8.2	2.4	44.6	2016	2016	2016	2016
LTU	Lithuania	5.2	3.1	2.6	32.3	2016	2016	2016	2016
LUX	Luxembourg	1	0.4	0	11.2	2016	2016	2016	2016
MLT	Malta	2	1	0.2	34.9	2016	2016	2016	2016
MNE	Montenegro	12.8	8.5	3.1	31.8	2014	2014	2014	2016
NLD	Netherlands	0.3	0.2	0.1	11.5	2016	2016	2016	2016
NOR	Norway	2.4	1.1	0.4	14.5	2016	2016	2016	2016
POL	Poland	9.8	6.6	4.5	22.9	2016	2016	2016	2016
PRT	Portugal	4.7	2.4	0.5	27.8	2016	2016	2016	2016
ROU	Romania	11.2	6.5	2.6	20.8	2016	2016	2016	2016
SRB	Serbia	8.8	4.5	1.4	40.6	2016	2016	2016	2016
SVK	Slovak Republic	3	2.3	0.9	17.8	2016	2016	2016	2016
SVN	Slovenia	0.8	0.4	0.3	12.0	2016	2016	2016	2016
ESP	Spain	0.5	0.5	0.3	23.8	2016	2016	2016	2016
SWE	Sweden	2.9	1.6	0.9	15.2	2016	2016	2016	2016
CHE	Switzerland	0.6	0.5	0.2	29.6	2016	2016	2016	2016
TUR	Turkey	15	6.8	1.8	16.5	2015	2015	2015	2016
GBR	United Kingdom	1.1	1	1.0	15.1	2016	2016	2016	2016