ISO	Country	amenMort	YamenMort	mortAMI	YmortAMI	mortStroke	YmortStroke	survCerCan	YsurvCerCan	survBreastCan	YsurBreastCan	surColonCan	YsurColonCan
AUT	Austria	109	2013-2040	7.44000995	2015	6.812875212	2015	63.9	2010-14	84.8	2010-14	63.7	2010-14
BEL	Belgium	94	2013-2045	7.029337079	2015	8.405633436	2015	65.4	2010-14	86.4	2010-14	67.9	2010-14
BGR	Bulgaria	282	2013-2024					54.8	2010-14	78.3	2010-14	52.4	2010-14
HRV	Croatia	216	2013-2028					63.2	2010-14	78.6	2010-14	51.1	2010-14
CYP	Cyprus	94	2013-2044										
CZE	Czech Republic	179	2013-2029	6.863172668	2015	9.671736048	2015	61	2010-14	81.4	2010-14	56.1	2010-14
DNK	Denmark	98	2013-2041	3.951919175	2015	4.593290424	2015	69.5	2010-14	86.1	2010-14	61.6	2010-14
EST	Estonia	224	2013-2027	10.60532555	2015	8.593109449	2015	66.5	2010-14	76.6	2010-14	58.4	2010-14
EU28	EU28	127	2013-2032										
FIN	Finland	111	2013-2037	5.600804974	2015	4.962913164	2015	67.4	2010-14	88.5	2010-14	64.9	2010-14
FRA	France	78	2013-2049	5.561223212	2015	7.063463634	2015	65	2010-14	86.7	2010-14	63.7	2010-14
DEU	Germany	116	2013-2036	7.667878615	2015	6.185823707	2015	65.2	2010-14	86	2010-14	64.8	2010-14
GRC	Greece	127	2013-2033										
HUN	Hungary	268	2013-2025										
ISL	Iceland	91	2013-2017	5.939577265	2015	8.3	2015	80.1	2010-14	89.1	2010-14	68.2	2010-14
IRL	Ireland	111	2013-2039	6.441152276	2015	9.71102644	2015	63.6	2010-14	82	2010-14	60.5	2010-14
ITA	Italy	93	2013-2046	5.389892656	2015	6.34778978	2015	66.8	2010-14	86	2010-14	64.2	2010-14
LVA	Latvia	326	2013-2022	13.36415234	2015	18.31569682	2015	53.9	2010-14	76.9	2010-14	48.8	2010-14
LTU	Lithuania	326	2013-2021			15.33085715	2015	59.2	2010-14	73.5	2010-14	56.9	2010-14
LUX	Luxembourg	97	2013-2042	7.302504198	2015	8.1	2015						
MLT	Malta	119	2013-2034	8.833333333	2015	15.9	2015	57.4	2010-14	86.9	2010-14	57.5	2010-14
NLD	Netherlands	91	2013-2047	5.387045911	2015	7.253479011	2015	67.5	2010-14	86.6	2010-14	63.1	2010-14
NOR	Norway	87	2013-2018	3.654997697	2015	4.770354154	2015	73.2	2010-14	87.2	2010-14	64.9	2010-14
POL	Poland	169	2013-2030	4.400320363	2015			55.1	2010-14	76.5	2010-14	52.9	2010-14
PRT	Portugal	111	2013-2038	7.936228014	2015	9.880345904	2015	66.2	2010-14	87.6	2010-14	60.9	2010-14
ROU	Romania	318	2013-2023					65.3	2010-14	74.8	2010-14		
SRB	Serbia	236	2013-2015										
SVK	Slovak Republic	250	2013-2026	6.411456471	2015	9.169773005	2015	60.5	2010-14	75.5	2010-14	51.8	2010-14
SVN	Slovenia	128	2013-2031	6.067455738	2015	12.11930075	2015	65.5	2010-14	83.5	2010-14	61.9	2010-14
ESP	Spain	88	2013-2048	7.856344914	2015	10.14986798	2015	64.5	2010-14	85.2	2010-14	63.2	2010-14
SWE	Sweden	97	2013-2043	4.175317651	2015	6.09379976	2015	68.3	2010-14	88.8	2010-14	64.9	2010-14
CHE	Switzerland	75	2013-2019	5.145074613	2015	5.379368585	2015	71.4	2010-14	86.2	2010-14	67.3	2010-14
TUR	Turkey	189	2013-2016	8.597858533	2015	10.11938797	2015	60.7	2010-14	82.1	2010-14	55.2	2010-14
GBR	United Kingdom	117	2013-2035	7.147155514	2015	9.572282625	2015	63.8	2010-14	85.6	2010-14	60	2010-14
EU20	EU20			6.829934863	2015								
EU18	EU18					8.6	2015						
EU23	EU23							63.22608696	2010-14	83.0	2010-14	59.6	2010-14